codigo;nome;uf;estado
2022;ITORORO;BA;BAHIA
3530;ITU;SP;SÃO PAULO
2023;ITUACU;BA;BAHIA
2024;ITUBERA;BA;BAHIA
2622;ITUETA;MG;MINAS GERAIS
2623;ITUIUTABA;MG;MINAS GERAIS
5385;ITUMBIARA;GO;GOIÁS
2624;ITUMIRIM;MG;MINAS GERAIS
3531;ITUPEVA;SP;SÃO PAULO
210;ITUPIRANGA;PA;PARA
4431;ITUPORANGA;SC;SANTA CATARINA
2625;ITURAMA;MG;MINAS GERAIS
2626;ITUTINGA;MG;MINAS GERAIS
3532;ITUVERAVA;SP;SÃO PAULO
2025;IUIU;BA;BAHIA
3126;IUNA;ES;ESPÍRITO SANTO
4064;IVAI;PR;PARANÁ
4065;IVAIPORA;PR;PARANÁ
4066;IVATE;PR;PARANÁ
4067;IVATUBA;PR;PARANÁ
5102;IVINHEMA;MS;MATO GROSSO DO SUL
5386;IVOLANDIA;GO;GOIÁS
4797;IVORA;RS;RIO GRANDE DO SUL
4798;IVOTI;RS;RIO GRANDE DO SUL
1548;JABOATAO DOS GUARARAPES;PE;PERNAMBUCO
4432;JABORA;SC;SANTA CATARINA
2026;JABORANDI;BA;BAHIA
3533;JABORANDI;SP;SÃO PAULO
4068;JABOTI;PR;PARANÁ
4799;JABOTICABA;RS;RIO GRANDE DO SUL
3534;JABOTICABAL;SP;SÃO PAULO
2627;JABOTICATUBAS;MG;MINAS GERAIS
1127;JACANA;RN;RIO GRANDE DO NORTE
2027;JACARACI;BA;BAHIA
1331;JACARAU;PB;PARAIBA
1682;JACARE DOS HOMENS;AL;ALAGOAS
211;JACAREACANGA;PA;PARA
3535;JACAREI;SP;SÃO PAULO
4069;JACAREZINHO;PR;PARANÁ
3536;JACI;SP;SÃO PAULO
5187;JACIARA;MT;MATO GROSSO
2628;JACINTO;MG;MINAS GERAIS
4433;JACINTO MACHADO;SC;SANTA CATARINA
2028;JACOBINA;BA;BAHIA
765;JACOBINA DO PIAUI;PI;PIAUI
2629;JACUI;MG;MINAS GERAIS
1683;JACUIPE;AL;ALAGOAS
212;JACUNDA;PA;PARA
3537;JACUPIRANGA;SP;SÃO PAULO
4800;JACUTINGA;RS;RIO GRANDE DO SUL
2630;JACUTINGA;MG;MINAS GERAIS
4070;JAGUAPITA;PR;PARANÁ
2029;JAGUAQUARA;BA;BAHIA
2631;JAGUARACU;MG;MINAS GERAIS
4801;JAGUARAO;RS;RIO GRANDE DO SUL
2030;JAGUARARI;BA;BAHIA
3127;JAGUARE;ES;ESPÍRITO SANTO
979;JAGUARETAMA;CE;CEARA
4802;JAGUARI;RS;RIO GRANDE DO SUL
4071;JAGUARIAIVA;PR;PARANÁ
980;JAGUARIBARA;CE;CEARA
981;JAGUARIBE;CE;CEARA
2031;JAGUARIPE;BA;BAHIA
3538;JAGUARIUNA;SP;SÃO PAULO
982;JAGUARUANA;CE;CEARA
4434;JAGUARUNA;SC;SANTA CATARINA
2632;JAIBA;MG;MINAS GERAIS
766;JAICOS;PI;PIAUI
3539;JALES;SP;SÃO PAULO
37;JAMARI;RO;RONDÔNIA
3540;JAMBEIRO;SP;SÃO PAULO
2633;JAMPRUCA;MG;MINAS GERAIS
2634;JANAUBA;MG;MINAS GERAIS
5387;JANDAIA;GO;GOIÁS
4072;JANDAIA DO SUL;PR;PARANÁ
1128;JANDAIRA;RN;RIO GRANDE DO NORTE
2032;JANDAIRA;BA;BAHIA
3541;JANDIRA;SP;SÃO PAULO
1129;JANDUIS;RN;RIO GRANDE DO NORTE
5188;JANGADA;MT;MATO GROSSO
4073;JANIOPOLIS;PR;PARANÁ
2635;JANUARIA;MG;MINAS GERAIS
1130;JANUARIO CICCO;RN;RIO GRANDE DO NORTE
2636;JAPARAIBA;MG;MINAS GERAIS
1684;JAPARATINGA;AL;ALAGOAS
1777;JAPARATUBA;SE;SERGIPE
3201;JAPERI;RJ;RIO DE JANEIRO
